Date,Price
2020-12,1858.420
2021-01,1866.980
2021-02,1808.170
2021-03,1718.230
2021-04,1760.040
2021-05,1850.260
2021-06,1834.570
2021-07,1807.840
2021-08,1785.280
2021-09,1775.140
2021-10,1776.850
2021-11,1821.760
2021-12,1790.430
2022-01,1816.020
2022-02,1856.300
2022-03,1947.830
2022-04,1936.860
2022-05,1848.500
2022-06,1836.570
2022-07,1732.740
2022-08,1764.560
2022-09,1680.780
2022-10,1664.450
2022-11,1725.070
2022-12,1797.550
2023-01,1897.710
2023-02,1854.540
2023-03,1912.730
2023-04,1999.770
2023-05,1992.130
2023-06,1942.900
2023-07,1951.020
2023-08,1918.700
2023-09,1915.950
2023-10,1916.250
2023-11,1984.110
2023-12,2026.180
2024-01,2034.040
2024-02,2023.240
2024-03,2158.010
2024-04,2331.450
2024-05,2351.130
2024-06,2326.440
2024-07,2398.200
2024-08,2470.150
2024-09,2570.550
2024-10,2690.080
2024-11,2651.130
2024-12,2648.010
2025-01,2709.690
2025-02,2894.730
2025-03,2983.250
2025-04,3217.640
2025-05,3309.490
2025-06,3352.660
2025-07,3340.150
2025-08,3368.030
2025-09,3667.680
2025-10,4058.330
2025-11,4087.190
2025-12,4309.230
2026-01,4752.750
2026-02,5019.970
